Age,English level,Education Level,Computing Experience,Task,Selected Answer,Correct,Case Type,Time Taken (ms),Submission Timestamp
23,esl,undergraduate,advanced,monitor cpu usage,monitor-cpu-usage,true,kebab,26919,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,install software package,installSoftwarePackage,true,camel,20836,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,manage firewall rules,manageFirewallRules,true,camel,16048,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,backup database files,backupDatabaseFiles,true,camel,9786,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,configure network interface,configureNetworkInterface,true,camel,9116,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,enable network settings,enableNetworkSettings,true,camel,5431,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,install software package,install-software-package,true,kebab,8669,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,upload data to server,upload-data-to-server,true,kebab,10966,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,synchronize time servers,synchronize-time-servers,true,kebab,5266,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,compress large files,compressLargeFiles,true,camel,5116,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,enable network settings,enable-network-settings,true,kebab,4019,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,run diagnostic tests,run-diagnostic-tests,true,kebab,8750,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,generate error logs,generate-error-logs,true,kebab,5165,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,reset password policies,resetPasswordPolicies,true,camel,8986,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,backup database files,backup-database-files,true,kebab,10850,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,check system updates,checkSystemUpdates,true,camel,3730,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,analyze disk space,analyze-disk-space,true,kebab,3482,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,reset password policies,reset-password-policies,true,kebab,4018,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,create user account,create-user-account,true,kebab,4298,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,configure network interface,configure-network-interface,true,kebab,11134,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,synchronize time servers,synchronizeTimeServers,true,camel,6385,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,run diagnostic tests,ranDialogisticTests,false,camel,6814,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
